Vaccine,Geographic Level,Geographic Name,Demographic Level,Demographic Name,indicator_label,indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_90pct,CI_Half_width_95pct,Unweighted Sample Size,suppression_flag
COVID,Substate,Texas-Rest of State,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 1,09/30/2023 12:00:00 AM,3.4387,0.9239,1.1009,7971,0
COVID,Substate,Texas-Rest of State,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,09/30/2023 12:00:00 AM,25.665,5.7199,6.8152,340,0
COVID,Substate,Texas-Rest of State,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 1,09/30/2023 12:00:00 AM,29.0214,5.5045,6.5585,340,0
COVID,Substate,Texas-Rest of State,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,09/30/2023 12:00:00 AM,41.8749,6.2974,7.5033,340,0
COVID,National,National,Health Insurance Among 18-64 Years,Insured,Up-to-date,Yes,October Week 1,09/30/2023 12:00:00 AM,2.1131,0.3928,0.468,207177,0
COVID,National,National,Health Insurance Among 18-64 Years,Insured,4-level vaccination and intent,Received a vaccination,October Week 1,09/30/2023 12:00:00 AM,2.1131,0.3928,0.468,207177,0
COVID,National,National,Health Insurance Among 18-64 Years,Insured,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,09/30/2023 12:00:00 AM,25.0327,1.4822,1.766,11945,0
COVID,National,National,Health Insurance Among 18-64 Years,Insured,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 1,09/30/2023 12:00:00 AM,32.1456,1.692,2.016,11945,0
COVID,National,National,Health Insurance Among 18-64 Years,Insured,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,09/30/2023 12:00:00 AM,40.7086,1.7757,2.1158,11945,0
COVID,National,National,Health Insurance Among 18-64 Years,Uninsured,Up-to-date,Yes,October Week 1,09/30/2023 12:00:00 AM,0.697,0.2421,0.2885,24286,0
COVID,National,National,Health Insurance Among 18-64 Years,Uninsured,4-level vaccination and intent,Received a vaccination,October Week 1,09/30/2023 12:00:00 AM,0.697,0.2421,0.2885,24286,0
COVID,National,National,Health Insurance Among 18-64 Years,Uninsured,4-level vaccination and intent,Definitely will get a vaccine,October Week 1,09/30/2023 12:00:00 AM,16.4021,3.3915,4.041,1528,0
COVID,National,National,Health Insurance Among 18-64 Years,Uninsured,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 1,09/30/2023 12:00:00 AM,42.5705,4.2649,5.0816,1528,0
COVID,National,National,Health Insurance Among 18-64 Years,Uninsured,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 1,09/30/2023 12:00:00 AM,40.3303,4.1499,4.9446,1528,0
COVID,Substate,Illinois-City of Chicago,Overall,18+ years,Up-to-date,Yes,October Week 2,10/07/2023 12:00:00 AM,6.354,2.0701,2.4665,4571,0
COVID,Substate,Illinois-City of Chicago,Overall,18+ years,4-level vaccination and intent,Received a vaccination,October Week 2,10/07/2023 12:00:00 AM,6.354,2.0701,2.4665,4571,0
COVID,Substate,Illinois-City of Chicago,Overall,18+ years,4-level vaccination and intent,Definitely will get a vaccine,October Week 2,10/07/2023 12:00:00 AM,20.2825,8.9918,10.7137,61,0
COVID,Substate,Illinois-City of Chicago,Overall,18+ years,4-level vaccination and intent,Probably will get a vaccine/unsure,October Week 2,10/07/2023 12:00:00 AM,60.8907,14.0699,16.7641,61,0
COVID,Substate,Illinois-City of Chicago,Overall,18+ years,4-level vaccination and intent,Definitely or probably will not get a vaccine,October Week 2,10/07/2023 12:00:00 AM,12.4728,6.3675,7.5868,61,0
