Vaccine,Geographic Level,Geographic Name,Demographic Level,Demographic Name,indicator_label,indicator_category_label,Month_Week,Week_ending,Estimate,CI_Half_width_90pct,CI_Half_width_95pct,Unweighted Sample Size,suppression_flag
COVID,State,Michigan,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,37.7936,15.1438,18.0437,49,0
COVID,State,Michigan,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,8.0971,1.8903,2.2523,1101,0
COVID,State,Michigan,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,8.0971,1.8903,2.2523,1101,0
COVID,State,Minnesota,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,39.9003,13.8196,16.4659,79,0
COVID,State,Minnesota,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,13.3697,7.4794,8.9116,79,0
COVID,State,Minnesota,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,30.9175,13.5,16.0852,79,0
COVID,State,Minnesota,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,15.8125,2.5534,3.0424,1422,0
COVID,State,Minnesota,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,15.8125,2.5534,3.0424,1422,0
COVID,State,Mississippi,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,59.3129,25.8061,30.7477,36,0
COVID,State,Mississippi,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,0.1895,0.3304,0.3937,36,0
COVID,State,Mississippi,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,34.5834,25.7718,30.7069,36,0
COVID,State,Mississippi,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,5.9141,1.9484,2.3215,1095,0
COVID,State,Mississippi,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,5.9141,1.9484,2.3215,1095,0
COVID,State,Missouri,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,,,,11,1
COVID,State,Missouri,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,,,,11,1
COVID,State,Missouri,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,,,,11,1
COVID,State,Missouri,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,,,,1037,1
COVID,State,Missouri,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,8.2418,2.0183,2.4048,1037,0
COVID,State,Montana,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,,,,24,1
COVID,State,Montana,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,,,,24,1
COVID,State,Montana,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,,,,24,1
COVID,State,Montana,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,,,,1255,1
COVID,State,Montana,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,7.1055,1.6997,2.0252,1255,0
COVID,State,Nebraska,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,,,,25,1
COVID,State,Nebraska,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,,,,25,1
COVID,State,Nebraska,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,,,,25,1
COVID,State,Nebraska,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,,,,819,1
COVID,State,Nebraska,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,10.3507,2.5953,3.0923,819,0
COVID,State,Nevada,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,66.5802,13.5065,16.0928,72,0
COVID,State,Nevada,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,5.2709,6.1988,7.3858,72,0
COVID,State,Nevada,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,20.4364,11.459,13.6533,72,0
COVID,State,Nevada,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,7.7124,2.2127,2.6364,1552,0
COVID,State,Nevada,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,7.7124,2.2127,2.6364,1552,0
COVID,State,New Hampshire,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,30.8417,19.8605,23.6636,66,0
COVID,State,New Hampshire,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,11.0617,7.5315,8.9737,66,0
COVID,State,New Hampshire,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,42.1846,17.5104,20.8634,66,0
COVID,State,New Hampshire,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,15.912,2.7352,3.2589,1300,0
COVID,State,New Hampshire,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,15.912,2.7352,3.2589,1300,0
COVID,State,New Jersey,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,31.3223,16.925,20.1659,46,0
COVID,State,New Jersey,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,19.7825,15.7634,18.7819,46,0
COVID,State,New Jersey,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,39.1987,17.4011,20.7332,46,0
COVID,State,New Jersey,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,9.6964,1.927,2.296,1892,0
COVID,State,New Jersey,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,9.6964,1.927,2.296,1892,0
COVID,State,New Mexico,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,44.7512,16.2368,19.346,85,0
COVID,State,New Mexico,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,15.1748,12.4574,14.8429,85,0
COVID,State,New Mexico,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,27.5467,15.1509,18.0521,85,0
COVID,State,New Mexico,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,12.5273,2.863,3.4113,2160,0
COVID,State,New Mexico,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,12.5273,2.863,3.4113,2160,0
COVID,State,New York,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,45.2187,10.2774,12.2455,123,0
COVID,State,New York,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,15.0071,8.2717,9.8556,123,0
COVID,State,New York,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,29.2243,8.6874,10.351,123,0
COVID,State,New York,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,10.5499,1.469,1.7503,2946,0
COVID,State,New York,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,10.5499,1.469,1.7503,2946,0
COVID,State,North Carolina,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,31.9671,13.3025,15.8498,56,0
COVID,State,North Carolina,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,24.9477,13.8534,16.5061,56,0
COVID,State,North Carolina,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,35.0975,14.8676,17.7146,56,0
COVID,State,North Carolina,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,7.9878,1.8016,2.1466,1773,0
COVID,State,North Carolina,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,7.9878,1.8016,2.1466,1773,0
COVID,State,North Dakota,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,62.1425,20.5121,24.4399,32,0
COVID,State,North Dakota,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,16.4383,19.3117,23.0096,32,0
COVID,State,North Dakota,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,14.918,12.9531,15.4335,32,0
COVID,State,North Dakota,Overall,6 months-17 years,4-level vaccination and intent,Received a vaccination,December Week 1,12/02/2023 12:00:00 AM,6.5012,2.0004,2.3835,915,0
COVID,State,North Dakota,Overall,6 months-17 years,Up-to-date,Yes,December Week 1,12/02/2023 12:00:00 AM,6.5012,2.0004,2.3835,915,0
COVID,State,Ohio,Overall,6 months-17 years,4-level vaccination and intent,Definitely or probably will not get a vaccine,December Week 1,12/02/2023 12:00:00 AM,44.3338,13.5776,16.1776,52,0
COVID,State,Ohio,Overall,6 months-17 years,4-level vaccination and intent,Definitely will get a vaccine,December Week 1,12/02/2023 12:00:00 AM,19.9881,11.3695,13.5466,52,0
COVID,State,Ohio,Overall,6 months-17 years,4-level vaccination and intent,Probably will get a vaccine/unsure,December Week 1,12/02/2023 12:00:00 AM,28.7033,12.5725,14.98,52,0
